ID;MeasurementPoint;Timestamp;Reading;Direction;Method;Created;Updated
7kingd92-kepu-ph9w-qslu-3ee7xsrvjl4h;ZG0074500874000000000000001653123;2026-05-31 22:00:00.000;962.000.000;r;03;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
lkavjusa-ob6i-jlmi-7exz-lgqa4ii5lsy2;ZG0074500874000000000000001653123;2026-05-31 22:15:00.000;351.000.000;r;02;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
2h0f7ejv-ogp7-qa9m-mhez-f4r3d9t01jsb;ZG0074500874000000000000001653123;2026-05-31 22:30:00.000;945.000.000;r;L1;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
pljm3d3u-geky-yey7-qbzr-0gvbuji60rr7;ZG0074500874000000000000001653123;2026-05-31 22:45:00.000;445.000.000;r;03;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
h73zuw99-6n6h-2ib3-cilp-gv881b38r70s;ZG0074500874000000000000001653123;2026-05-31 23:00:00.000;224.000.000;r;L1;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
t15v5nwd-864w-kcbm-bvcu-i44xopouv6mk;ZG0074500874000000000000001653123;2026-05-31 23:15:00.000;133.000.000;r;04;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
42zxxa2p-mqwe-hltr-o0l9-gm2oj2gt3ksu;ZG0074500874000000000000001653123;2026-05-31 23:30:00.000;116.000.000;r;L1;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
n6zu9b1l-j9hq-y494-lkys-a9xk0grmpndm;ZG0074500874000000000000001653123;2026-05-31 23:45:00.000;813.000.000;r;03;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
39qhg3r7-q1vs-6izo-zbni-w7pj0ei0nayy;ZG0074500874000000000000001653123;2026-06-01 00:00:00.000;7.000.000;r;04;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
k0b18q2i-1dj7-a7ms-vftd-fmvk0535fiy9;ZG0074500874000000000000001653123;2026-06-01 00:15:00.000;920.000.000;r;L1;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
cyr66l4x-6zcr-ri6y-kthn-pz8w1xti81yh;ZG0074500874000000000000001653123;2026-06-01 00:30:00.000;974.000.000;r;04;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
c7d43rqt-80p2-dah3-khmh-x0s4amgviwsz;ZG0074500874000000000000001653123;2026-06-01 00:45:00.000;529.000.000;r;03;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
slb7rll8-o9gs-rrb9-0x4g-vbt1bnt29ia9;ZG0074500874000000000000001653123;2026-06-01 01:00:00.000;220.000.000;r;02;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
xah96q46-6ur6-k7k3-ne74-wjxywbx63eyq;ZG0074500874000000000000001653123;2026-06-01 01:15:00.000;241.000.000;r;L2;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
h33r6xdh-an0j-zs1x-0pic-4uirab0n32di;ZG0074500874000000000000001653123;2026-06-01 01:30:00.000;11.000.000;r;01;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
xu00ejyb-4xbc-pah3-ozec-e9l6uidmw2bf;ZG0074500874000000000000001653123;2026-06-01 01:45:00.000;166.000.000;r;01;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
0x2kxxte-xgh9-4aqv-5o25-8s25i7wpreea;ZG0074500874000000000000001653123;2026-06-01 02:00:00.000;629.000.000;r;04;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
pse2yiy0-6k8p-rj8v-h2qm-pne5dhvrevc2;ZG0074500874000000000000001653123;2026-06-01 02:15:00.000;635.000.000;r;03;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
2yguohrs-8mmv-qqpf-qbge-jhfaf42cheh2;ZG0074500874000000000000001653123;2026-06-01 02:30:00.000;652.000.000;r;03;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
hq130s0a-lghb-y2kn-hiy2-0kesr6y89yrg;ZG0074500874000000000000001653123;2026-06-01 02:45:00.000;943.000.000;r;01;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
o5tix47x-rqmp-aqk2-xm3p-yi22h4tb7igo;ZG0074500874000000000000001653123;2026-06-01 03:00:00.000;140.000.000;r;03;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
yt29qbd0-9t4i-1zfp-mjoy-7mazcxm87egs;ZG0074500874000000000000001653123;2026-06-01 03:15:00.000;882.000.000;r;L3;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
d97hmzq0-z527-be31-snfy-lmbisted940w;ZG0074500874000000000000001653123;2026-06-01 03:30:00.000;918.000.000;r;L3;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
8wluu3yk-0kse-z81a-2cw5-aulvnh444mi9;ZG0074500874000000000000001653123;2026-06-01 03:45:00.000;620.000.000;r;L1;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
a1yy0nnv-lqyw-tr1y-p7vj-g2rkl3a2rqfg;ZG0074500874000000000000001653123;2026-06-01 04:00:00.000;58.000.000;r;L2;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
g6nk1pxb-mlk4-egdb-em01-l7sz8sekm9cz;ZG0074500874000000000000001653123;2026-06-01 04:15:00.000;17.000.000;r;L3;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
32v4l5cu-cwj7-ew16-mkdm-mcnh3154cf3p;ZG0074500874000000000000001653123;2026-06-01 04:30:00.000;925.000.000;r;L2;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
wect3h58-i85b-ptx3-5r8p-2rxo00dkyk9h;ZG0074500874000000000000001653123;2026-06-01 04:45:00.000;677.000.000;r;L3;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
