ID;MeasurementPoint;Timestamp;Reading;Direction;Method;Created;Updated
yajh6x77-jlg8-wrzt-6qhx-2r0idd42hrit;ZG0074500874000000000000001653123;2026-05-31 22:00:00.000;194.000.000;s;03;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
cvpih56d-8vvc-zuh2-ogvp-5yfmfwggb2rm;ZG0074500874000000000000001653123;2026-05-31 22:15:00.000;350.000.000;s;02;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
ezqa4of3-16qu-7ldc-k2zi-ewjmq9yp6yxi;ZG0074500874000000000000001653123;2026-05-31 22:30:00.000;123.000.000;s;02;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
92tt9oa8-bs7u-09za-j6k4-yvkg6zfofimt;ZG0074500874000000000000001653123;2026-05-31 22:45:00.000;80.000.000;s;03;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
xigyz9wg-ctfu-iwmw-v559-hn8veljxbt80;ZG0074500874000000000000001653123;2026-05-31 23:00:00.000;19.000.000;s;04;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
otzuqnc3-hipk-1k0i-omlm-7bd5kexx5cbo;ZG0074500874000000000000001653123;2026-05-31 23:15:00.000;758.000.000;s;L2;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
5yp03832-lsxw-e9g7-ugpd-cuc0gkdypnnh;ZG0074500874000000000000001653123;2026-05-31 23:30:00.000;528.000.000;s;L1;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
2f7bbedw-jbwo-vb19-ttqk-2th2m2mzvs2n;ZG0074500874000000000000001653123;2026-05-31 23:45:00.000;999.000.000;s;02;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
q0v1nd5n-gvfs-nbya-byzn-08mjl4iyi4pc;ZG0074500874000000000000001653123;2026-06-01 00:00:00.000;983.000.000;s;02;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
shdyntd3-k8cx-sq3k-znzn-sox5bqj2zetp;ZG0074500874000000000000001653123;2026-06-01 00:15:00.000;943.000.000;s;02;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
g707g32b-ya1a-xzo4-aewr-p0b6lgcmy44f;ZG0074500874000000000000001653123;2026-06-01 00:30:00.000;186.000.000;s;L1;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
