ID;MeasurementPoint;Timestamp;Reading;Direction;Method;Created;Updated
u49dhus7-7id1-w69d-tsy5-2h86ky3sxpbp;ZG0074500874000000000000001653123;2026-05-31 22:00:00.000;715.000.000;r;03;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
ziivfwzn-ah4v-c7c2-i7xz-63ob6x90hz13;ZG0074500874000000000000001653123;2026-05-31 22:15:00.000;566.000.000;r;01;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
njhp9el2-iddl-5vp2-rtc0-yg398e3dljpv;ZG0074500874000000000000001653123;2026-05-31 22:30:00.000;933.000.000;r;L2;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
wqxylkd1-ovsw-0qhj-ousp-98rfg1msl8su;ZG0074500874000000000000001653123;2026-05-31 22:45:00.000;103.000.000;r;L2;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
v513tql9-rv83-0oen-55xu-zd6ntwbfxldb;ZG0074500874000000000000001653123;2026-05-31 23:00:00.000;508.000.000;r;L1;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
5s5c5lvq-nbpa-j1xe-jikm-afnduy464uul;ZG0074500874000000000000001653123;2026-05-31 23:15:00.000;276.000.000;r;01;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
r46lmbie-h4vn-lu73-prbo-hdoq7vru5a08;ZG0074500874000000000000001653123;2026-05-31 23:30:00.000;787.000.000;r;L3;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
gxx7ynz9-15ad-e4wy-fwpx-8k89gnjuxjuq;ZG0074500874000000000000001653123;2026-05-31 23:45:00.000;191.000.000;r;L2;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
d3rwop9a-2ln9-fx80-plpm-jtyz17i8n72j;ZG0074500874000000000000001653123;2026-06-01 00:00:00.000;920.000.000;r;L1;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
x8r8hvko-3j1n-ggxf-noyr-04m395qo5kcf;ZG0074500874000000000000001653123;2026-06-01 00:15:00.000;303.000.000;r;L3;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
1575daj9-6u80-h98f-fxue-njxl7keic4jl;ZG0074500874000000000000001653123;2026-06-01 00:30:00.000;779.000.000;r;03;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
whjvxe12-ysz3-u760-adse-qw0r3mh5j8m1;ZG0074500874000000000000001653123;2026-06-01 00:45:00.000;92.000.000;r;03;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
vvwv6hj6-5rim-959v-a0d9-5mah4ljrpz8y;ZG0074500874000000000000001653123;2026-06-01 01:00:00.000;618.000.000;r;01;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
rv5xtjfp-a4jw-zl6s-hnb7-x7mqxdluonj2;ZG0074500874000000000000001653123;2026-06-01 01:15:00.000;402.000.000;r;L1;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
m816f946-dnjf-3hu0-hf94-l5n68rbzgp65;ZG0074500874000000000000001653123;2026-06-01 01:30:00.000;758.000.000;r;04;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
